SOURCE	TARGET	count
early enterocyte 1	NTS+ cells	38
early enterocyte 1	Enteric neurons	46
early enterocyte 1	cycling cells 1	42
early enterocyte 1	uniform progenitor	42
early enterocyte 1	mesoderm 2	42
early enterocyte 1	early enterocyte 1	12
early enterocyte 1	mesoderm 1	46
early enterocyte 1	Neural crest cells	26
early enterocyte 1	cycling cells 2	32
early enterocyte 1	LGR5 stem	29
early enterocyte 1	Goblet prog	27
early enterocyte 1	early enterocyte 2	31
early enterocyte 1	enteroendocrine	33
early enterocyte 1	FOXL1 FLC	64
early enterocyte 1	Erythroblasts	2
early enterocyte 1	BEST4 enterocyte prog	30
early enterocyte 1	enterocyte	33
early enterocyte 1	pericyte	43
early enterocyte 1	Venous EC	62
early enterocyte 1	ICC	32
early enterocyte 1	myofibroblast	56
early enterocyte 1	immune cells	42
early enterocyte 1	Arterial EC	56
early enterocyte 1	WNT4 FLC	77
early enterocyte 1	UPK3B Serosa	34
early enterocyte 1	Lymphatic EC	34
mesoderm 1	SMC	77
mesoderm 1	NTS+ cells	60
mesoderm 1	Enteric neurons	57
mesoderm 1	cycling cells 1	105
mesoderm 1	uniform progenitor	85
mesoderm 1	mesoderm 2	66
mesoderm 1	early enterocyte 1	46
mesoderm 1	mesoderm 1	29
mesoderm 1	Neural crest cells	57
mesoderm 1	cycling cells 2	71
mesoderm 1	LGR5 stem	85
mesoderm 1	Goblet prog	90
mesoderm 1	early enterocyte 2	60
mesoderm 1	enteroendocrine	88
mesoderm 1	FOXL1 FLC	100
mesoderm 1	Erythroblasts	10
mesoderm 1	BEST4 enterocyte prog	57
mesoderm 1	enterocyte	56
mesoderm 1	pericyte	94
mesoderm 1	Venous EC	109
mesoderm 1	ICC	57
mesoderm 1	myofibroblast	96
mesoderm 1	immune cells	38
mesoderm 1	Arterial EC	88
mesoderm 1	WNT4 FLC	109
mesoderm 1	UPK3B Serosa	38
mesoderm 1	Lymphatic EC	49
Neural crest cells	SMC	67
Neural crest cells	NTS+ cells	32
Neural crest cells	Enteric neurons	60
Neural crest cells	cycling cells 1	60
Neural crest cells	uniform progenitor	59
Neural crest cells	mesoderm 2	56
Neural crest cells	early enterocyte 1	26
Neural crest cells	mesoderm 1	57
Neural crest cells	Neural crest cells	27
Neural crest cells	cycling cells 2	46
Neural crest cells	LGR5 stem	46
Neural crest cells	Goblet prog	49
Neural crest cells	early enterocyte 2	30
Neural crest cells	enteroendocrine	54
Neural crest cells	FOXL1 FLC	85
Neural crest cells	Erythroblasts	5
Neural crest cells	BEST4 enterocyte prog	28
Neural crest cells	enterocyte	34
Neural crest cells	pericyte	77
Neural crest cells	Venous EC	67
Neural crest cells	ICC	51
Neural crest cells	myofibroblast	74
Neural crest cells	immune cells	31
Neural crest cells	Arterial EC	60
Neural crest cells	WNT4 FLC	100
Neural crest cells	UPK3B Serosa	27
